coefficient_id	family	route_or_pool	coefficient_kind	model_parameter	physical_unit	benchmark_source	calibration_rule	status	notes
ELMA_NEW_alpha_new_elma	ELMA	NEW	metal_intensity	alpha_new_elma	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Metal intensity of new production.
ELMA_REF_alpha_ref_elma	ELMA	REF	metal_intensity	alpha_ref_elma	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Replacement-parts metal intensity of refurbishment.
ELMA_REP_alpha_rep_elma	ELMA	REP	metal_intensity	alpha_rep_elma	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Replacement-parts metal intensity of repair.
ELMA_REU_alpha_reu_elma	ELMA	REU	metal_intensity	alpha_reu_elma	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Metal intensity of reuse, often close to zero.
ELMA_REF_yield_ref_elma	ELMA	REF	yield	yield_ref_elma	product_unit_per_eol_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Refurbishment output yield from end-of-life inflows.
ELMA_REP_yield_rep_elma	ELMA	REP	yield	yield_rep_elma	product_unit_per_eol_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Repair output yield from end-of-life inflows.
ELMA_REU_yield_reu_elma	ELMA	REU	yield	yield_reu_elma	product_unit_per_eol_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Reuse output yield from end-of-life inflows.
OFMA_NEW_alpha_new_ofma	OFMA	NEW	metal_intensity	alpha_new_ofma	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Metal intensity of new production.
OFMA_REF_alpha_ref_ofma	OFMA	REF	metal_intensity	alpha_ref_ofma	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Replacement-parts metal intensity of refurbishment.
OFMA_REP_alpha_rep_ofma	OFMA	REP	metal_intensity	alpha_rep_ofma	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Replacement-parts metal intensity of repair.
OFMA_REU_alpha_reu_ofma	OFMA	REU	metal_intensity	alpha_reu_ofma	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Metal intensity of reuse, often close to zero.
OFMA_REF_yield_ref_ofma	OFMA	REF	yield	yield_ref_ofma	product_unit_per_eol_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Refurbishment output yield from end-of-life inflows.
OFMA_REP_yield_rep_ofma	OFMA	REP	yield	yield_rep_ofma	product_unit_per_eol_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Repair output yield from end-of-life inflows.
OFMA_REU_yield_reu_ofma	OFMA	REU	yield	yield_reu_ofma	product_unit_per_eol_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Reuse output yield from end-of-life inflows.
RATV_NEW_alpha_new_ratv	RATV	NEW	metal_intensity	alpha_new_ratv	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Metal intensity of new production.
RATV_REF_alpha_ref_ratv	RATV	REF	metal_intensity	alpha_ref_ratv	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Replacement-parts metal intensity of refurbishment.
RATV_REP_alpha_rep_ratv	RATV	REP	metal_intensity	alpha_rep_ratv	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Replacement-parts metal intensity of repair.
RATV_REU_alpha_reu_ratv	RATV	REU	metal_intensity	alpha_reu_ratv	kg_metal_per_product_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Metal intensity of reuse, often close to zero.
RATV_REF_yield_ref_ratv	RATV	REF	yield	yield_ref_ratv	product_unit_per_eol_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Refurbishment output yield from end-of-life inflows.
RATV_REP_yield_rep_ratv	RATV	REP	yield	yield_rep_ratv	product_unit_per_eol_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Repair output yield from end-of-life inflows.
RATV_REU_yield_reu_ratv	RATV	REU	yield	yield_reu_ratv	product_unit_per_eol_unit	to_fill	Populate from observed physical evidence where available; otherwise construct transparently and document.	template	Reuse output yield from end-of-life inflows.
ALL_METAL_external_price	ALL	METAL	external_price	external_metal_price	model_value_per_tonne_METAL	to_fill	Common fixed external price of METAL, used to convert monetary BASIC_METALS use into physical METAL demand.	template	The same value is required in every European region because METAL has one EU-wide market price.
ALL_RECOVERY_yield_metal_ee	ALL	REC	recovery_yield	yield_metal_ee	kg_METAL_per_kg_eol	to_fill	Recovery yield converting recycled end-of-life throughput into METAL output.	template	Common recycling yield for the single METAL commodity.
