subset,parent_set,item
upstream_material_activities,activities,ACT_BASIC_METALS
upstream_material_commodities,commodities,COM_BASIC_METALS
upstream_material_activities,activities,ACT_METAL_COMPONENTS
upstream_material_commodities,commodities,COM_METAL_COMPONENTS
ce_rise_activities,activities,ACT_NEW_ELMA
ce_rise_commodities,commodities,COM_NEW_ELMA
service_route_activities,activities,ACT_NEW_ELMA
service_route_commodities,commodities,COM_NEW_ELMA
new_route_activities,activities,ACT_NEW_ELMA
new_route_commodities,commodities,COM_NEW_ELMA
ce_rise_activities,activities,ACT_NEW_OFMA
ce_rise_commodities,commodities,COM_NEW_OFMA
service_route_activities,activities,ACT_NEW_OFMA
service_route_commodities,commodities,COM_NEW_OFMA
new_route_activities,activities,ACT_NEW_OFMA
new_route_commodities,commodities,COM_NEW_OFMA
ce_rise_activities,activities,ACT_NEW_RATV
ce_rise_commodities,commodities,COM_NEW_RATV
service_route_activities,activities,ACT_NEW_RATV
service_route_commodities,commodities,COM_NEW_RATV
new_route_activities,activities,ACT_NEW_RATV
new_route_commodities,commodities,COM_NEW_RATV
ce_rise_activities,activities,ACT_REP_ELMA
ce_rise_commodities,commodities,COM_REP_ELMA
service_route_activities,activities,ACT_REP_ELMA
service_route_commodities,commodities,COM_REP_ELMA
repair_route_activities,activities,ACT_REP_ELMA
repair_route_commodities,commodities,COM_REP_ELMA
ce_rise_activities,activities,ACT_REP_OFMA
ce_rise_commodities,commodities,COM_REP_OFMA
service_route_activities,activities,ACT_REP_OFMA
service_route_commodities,commodities,COM_REP_OFMA
repair_route_activities,activities,ACT_REP_OFMA
repair_route_commodities,commodities,COM_REP_OFMA
ce_rise_activities,activities,ACT_REP_RATV
ce_rise_commodities,commodities,COM_REP_RATV
service_route_activities,activities,ACT_REP_RATV
service_route_commodities,commodities,COM_REP_RATV
repair_route_activities,activities,ACT_REP_RATV
repair_route_commodities,commodities,COM_REP_RATV
ce_rise_activities,activities,ACT_REF_ELMA
ce_rise_commodities,commodities,COM_REF_ELMA
service_route_activities,activities,ACT_REF_ELMA
service_route_commodities,commodities,COM_REF_ELMA
refurbishment_route_activities,activities,ACT_REF_ELMA
refurbishment_route_commodities,commodities,COM_REF_ELMA
ce_rise_activities,activities,ACT_REF_OFMA
ce_rise_commodities,commodities,COM_REF_OFMA
service_route_activities,activities,ACT_REF_OFMA
service_route_commodities,commodities,COM_REF_OFMA
refurbishment_route_activities,activities,ACT_REF_OFMA
refurbishment_route_commodities,commodities,COM_REF_OFMA
ce_rise_activities,activities,ACT_REF_RATV
ce_rise_commodities,commodities,COM_REF_RATV
service_route_activities,activities,ACT_REF_RATV
service_route_commodities,commodities,COM_REF_RATV
refurbishment_route_activities,activities,ACT_REF_RATV
refurbishment_route_commodities,commodities,COM_REF_RATV
ce_rise_activities,activities,ACT_REU_ELMA
ce_rise_commodities,commodities,COM_REU_ELMA
service_route_activities,activities,ACT_REU_ELMA
service_route_commodities,commodities,COM_REU_ELMA
reuse_route_activities,activities,ACT_REU_ELMA
reuse_route_commodities,commodities,COM_REU_ELMA
ce_rise_activities,activities,ACT_REU_OFMA
ce_rise_commodities,commodities,COM_REU_OFMA
service_route_activities,activities,ACT_REU_OFMA
service_route_commodities,commodities,COM_REU_OFMA
reuse_route_activities,activities,ACT_REU_OFMA
reuse_route_commodities,commodities,COM_REU_OFMA
ce_rise_activities,activities,ACT_REU_RATV
ce_rise_commodities,commodities,COM_REU_RATV
service_route_activities,activities,ACT_REU_RATV
service_route_commodities,commodities,COM_REU_RATV
reuse_route_activities,activities,ACT_REU_RATV
reuse_route_commodities,commodities,COM_REU_RATV
ce_rise_activities,activities,ACT_REC_EE
ce_rise_commodities,commodities,COM_REC_EE
eol_processing_activities,activities,ACT_REC_EE
eol_processing_commodities,commodities,COM_REC_EE
ce_rise_activities,activities,ACT_INC_EE
ce_rise_commodities,commodities,COM_INC_EE
eol_processing_activities,activities,ACT_INC_EE
eol_processing_commodities,commodities,COM_INC_EE
service_routes,routes,NEW
service_routes,routes,REF
service_routes,routes,REP
service_routes,routes,REU
life_extension_routes,routes,REF
life_extension_routes,routes,REP
life_extension_routes,routes,REU
eol_routes,routes,REF
eol_routes,routes,REP
eol_routes,routes,REU
eol_routes,routes,REC
eol_routes,routes,INC
