set,item
regions,DE
regions,FR
regions,IT
regions,PL
regions,SK
regions,REU
industries,IND_DE_AGRI_FOOD
industries,IND_DE_EXTRACTIVE
industries,IND_DE_BASIC_METALS
industries,IND_DE_METAL_COMPONENTS
industries,IND_DE_NEW_ELMA
industries,IND_DE_NEW_OFMA
industries,IND_DE_NEW_RATV
industries,IND_DE_REP_ELMA
industries,IND_DE_REP_OFMA
industries,IND_DE_REP_RATV
industries,IND_DE_REF_ELMA
industries,IND_DE_REF_OFMA
industries,IND_DE_REF_RATV
industries,IND_DE_REU_ELMA
industries,IND_DE_REU_OFMA
industries,IND_DE_REU_RATV
industries,IND_DE_REC_EE
industries,IND_DE_INC_EE
industries,IND_DE_CONSTRUCTION
industries,IND_DE_UTIL_WASTE
industries,IND_DE_TRADE
industries,IND_DE_TRANSPORT
industries,IND_DE_OTHER_MANUFACTURING
industries,IND_DE_OTHER_SERVICES
industries,IND_DE_PUBLIC_SOCIAL
industries,IND_FR_AGRI_FOOD
industries,IND_FR_EXTRACTIVE
industries,IND_FR_BASIC_METALS
industries,IND_FR_METAL_COMPONENTS
industries,IND_FR_NEW_ELMA
industries,IND_FR_NEW_OFMA
industries,IND_FR_NEW_RATV
industries,IND_FR_REP_ELMA
industries,IND_FR_REP_OFMA
industries,IND_FR_REP_RATV
industries,IND_FR_REF_ELMA
industries,IND_FR_REF_OFMA
industries,IND_FR_REF_RATV
industries,IND_FR_REU_ELMA
industries,IND_FR_REU_OFMA
industries,IND_FR_REU_RATV
industries,IND_FR_REC_EE
industries,IND_FR_INC_EE
industries,IND_FR_CONSTRUCTION
industries,IND_FR_UTIL_WASTE
industries,IND_FR_TRADE
industries,IND_FR_TRANSPORT
industries,IND_FR_OTHER_MANUFACTURING
industries,IND_FR_OTHER_SERVICES
industries,IND_FR_PUBLIC_SOCIAL
industries,IND_IT_AGRI_FOOD
industries,IND_IT_EXTRACTIVE
industries,IND_IT_BASIC_METALS
industries,IND_IT_METAL_COMPONENTS
industries,IND_IT_NEW_ELMA
industries,IND_IT_NEW_OFMA
industries,IND_IT_NEW_RATV
industries,IND_IT_REP_ELMA
industries,IND_IT_REP_OFMA
industries,IND_IT_REP_RATV
industries,IND_IT_REF_ELMA
industries,IND_IT_REF_OFMA
industries,IND_IT_REF_RATV
industries,IND_IT_REU_ELMA
industries,IND_IT_REU_OFMA
industries,IND_IT_REU_RATV
industries,IND_IT_REC_EE
industries,IND_IT_INC_EE
industries,IND_IT_CONSTRUCTION
industries,IND_IT_UTIL_WASTE
industries,IND_IT_TRADE
industries,IND_IT_TRANSPORT
industries,IND_IT_OTHER_MANUFACTURING
industries,IND_IT_OTHER_SERVICES
industries,IND_IT_PUBLIC_SOCIAL
industries,IND_PL_AGRI_FOOD
industries,IND_PL_EXTRACTIVE
industries,IND_PL_BASIC_METALS
industries,IND_PL_METAL_COMPONENTS
industries,IND_PL_NEW_ELMA
industries,IND_PL_NEW_OFMA
industries,IND_PL_NEW_RATV
industries,IND_PL_REP_ELMA
industries,IND_PL_REP_OFMA
industries,IND_PL_REP_RATV
industries,IND_PL_REF_ELMA
industries,IND_PL_REF_OFMA
industries,IND_PL_REF_RATV
industries,IND_PL_REU_ELMA
industries,IND_PL_REU_OFMA
industries,IND_PL_REU_RATV
industries,IND_PL_REC_EE
industries,IND_PL_INC_EE
industries,IND_PL_CONSTRUCTION
industries,IND_PL_UTIL_WASTE
industries,IND_PL_TRADE
industries,IND_PL_TRANSPORT
industries,IND_PL_OTHER_MANUFACTURING
industries,IND_PL_OTHER_SERVICES
industries,IND_PL_PUBLIC_SOCIAL
industries,IND_SK_AGRI_FOOD
industries,IND_SK_EXTRACTIVE
industries,IND_SK_BASIC_METALS
industries,IND_SK_METAL_COMPONENTS
industries,IND_SK_NEW_ELMA
industries,IND_SK_NEW_OFMA
industries,IND_SK_NEW_RATV
industries,IND_SK_REP_ELMA
industries,IND_SK_REP_OFMA
industries,IND_SK_REP_RATV
industries,IND_SK_REF_ELMA
industries,IND_SK_REF_OFMA
industries,IND_SK_REF_RATV
industries,IND_SK_REU_ELMA
industries,IND_SK_REU_OFMA
industries,IND_SK_REU_RATV
industries,IND_SK_REC_EE
industries,IND_SK_INC_EE
industries,IND_SK_CONSTRUCTION
industries,IND_SK_UTIL_WASTE
industries,IND_SK_TRADE
industries,IND_SK_TRANSPORT
industries,IND_SK_OTHER_MANUFACTURING
industries,IND_SK_OTHER_SERVICES
industries,IND_SK_PUBLIC_SOCIAL
industries,IND_REU_AGRI_FOOD
industries,IND_REU_EXTRACTIVE
industries,IND_REU_BASIC_METALS
industries,IND_REU_METAL_COMPONENTS
industries,IND_REU_NEW_ELMA
industries,IND_REU_NEW_OFMA
industries,IND_REU_NEW_RATV
industries,IND_REU_REP_ELMA
industries,IND_REU_REP_OFMA
industries,IND_REU_REP_RATV
industries,IND_REU_REF_ELMA
industries,IND_REU_REF_OFMA
industries,IND_REU_REF_RATV
industries,IND_REU_REU_ELMA
industries,IND_REU_REU_OFMA
industries,IND_REU_REU_RATV
industries,IND_REU_REC_EE
industries,IND_REU_INC_EE
industries,IND_REU_CONSTRUCTION
industries,IND_REU_UTIL_WASTE
industries,IND_REU_TRADE
industries,IND_REU_TRANSPORT
industries,IND_REU_OTHER_MANUFACTURING
industries,IND_REU_OTHER_SERVICES
industries,IND_REU_PUBLIC_SOCIAL
factors,FAC_DE_LAB
factors,FAC_DE_CAP
factors,FAC_FR_LAB
factors,FAC_FR_CAP
factors,FAC_IT_LAB
factors,FAC_IT_CAP
factors,FAC_PL_LAB
factors,FAC_PL_CAP
factors,FAC_SK_LAB
factors,FAC_SK_CAP
factors,FAC_REU_LAB
factors,FAC_REU_CAP
institutions,INS_DE_HH
institutions,INS_DE_GOV
institutions,INS_DE_INV
institutions,INS_FR_HH
institutions,INS_FR_GOV
institutions,INS_FR_INV
institutions,INS_IT_HH
institutions,INS_IT_GOV
institutions,INS_IT_INV
institutions,INS_PL_HH
institutions,INS_PL_GOV
institutions,INS_PL_INV
institutions,INS_SK_HH
institutions,INS_SK_GOV
institutions,INS_SK_INV
institutions,INS_REU_HH
institutions,INS_REU_GOV
institutions,INS_REU_INV
investment_pools,INV_POOL
externals,EXT_DE_EXT
externals,EXT_FR_EXT
externals,EXT_IT_EXT
externals,EXT_PL_EXT
externals,EXT_SK_EXT
externals,EXT_REU_EXT
regional_families,DE__ELMA
regional_families,DE__OFMA
regional_families,DE__RATV
regional_families,FR__ELMA
regional_families,FR__OFMA
regional_families,FR__RATV
regional_families,IT__ELMA
regional_families,IT__OFMA
regional_families,IT__RATV
regional_families,PL__ELMA
regional_families,PL__OFMA
regional_families,PL__RATV
regional_families,SK__ELMA
regional_families,SK__OFMA
regional_families,SK__RATV
regional_families,REU__ELMA
regional_families,REU__OFMA
regional_families,REU__RATV
service_targets,TST_DE_ELMA
service_targets,TST_DE_OFMA
service_targets,TST_DE_RATV
service_targets,TST_FR_ELMA
service_targets,TST_FR_OFMA
service_targets,TST_FR_RATV
service_targets,TST_IT_ELMA
service_targets,TST_IT_OFMA
service_targets,TST_IT_RATV
service_targets,TST_PL_ELMA
service_targets,TST_PL_OFMA
service_targets,TST_PL_RATV
service_targets,TST_SK_ELMA
service_targets,TST_SK_OFMA
service_targets,TST_SK_RATV
service_targets,TST_REU_ELMA
service_targets,TST_REU_OFMA
service_targets,TST_REU_RATV
eol_targets,EOL_DE_ELMA
eol_targets,EOL_DE_OFMA
eol_targets,EOL_DE_RATV
eol_targets,EOL_FR_ELMA
eol_targets,EOL_FR_OFMA
eol_targets,EOL_FR_RATV
eol_targets,EOL_IT_ELMA
eol_targets,EOL_IT_OFMA
eol_targets,EOL_IT_RATV
eol_targets,EOL_PL_ELMA
eol_targets,EOL_PL_OFMA
eol_targets,EOL_PL_RATV
eol_targets,EOL_SK_ELMA
eol_targets,EOL_SK_OFMA
eol_targets,EOL_SK_RATV
eol_targets,EOL_REU_ELMA
eol_targets,EOL_REU_OFMA
eol_targets,EOL_REU_RATV
material_targets,METAL
families,ELMA
families,OFMA
families,RATV
routes,NEW
routes,REF
routes,REP
routes,REU
routes,REC
routes,INC
